axiom_pattern;axiom;template;question;question_type;op_category;ontology;file;question_type_short;op_category_short;row_id
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);SpicyTopping SubclassOf(isToppingOf only Pizza),SpicyTopping SubclassOf(Food);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] [Y]?;Which food is a topping of a pizza?;op_What-2-part-1-rel;OP_IS_NOUNS_PREP;Pizza;What-2-part-1-rel.csv;w2p1r;is_noun_prep;41760
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);FruttiDiMare SubclassOf(hasBase some PizzaBase),FruttiDiMare SubclassOf(NamedPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which named pizza has a base that is a pizza base?;op_What-2-part-1-rel;OP_HAS_NOUNS;Pizza;What-2-part-1-rel.csv;w2p1r;has_nouns;31936
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Parmense SubclassOf(hasSpiciness only Spiciness),Parmense SubclassOf(MeatyPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which meaty pizza has a spiciness that is only a spiciness?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;47116
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);MixedSeafoodTopping SubclassOf(hasSpiciness only Spiciness),MixedSeafoodTopping SubclassOf(Food);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which food has a spiciness that is only a spiciness?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;45433
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Hot SubclassOf(hasBase only ValuePartition),Hot SubclassOf(ValuePartition);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which value partition has a base that is only a value partition?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;48271
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Mild SubclassOf(isToppingOf only PizzaTopping),Mild SubclassOf(ValuePartition);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which value partition is a topping of only a pizza topping?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;52385
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);HotSpicedBeefTopping SubclassOf(isToppingOf only Pizza),HotSpicedBeefTopping SubclassOf(SpicyTopping);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which spicy topping is a topping of only a pizza?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;50936
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Medium SubclassOf(hasBase only DomainConcept),Medium SubclassOf(Spiciness);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which spiciness has a base that is only a domain thing?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;48611
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);American SubclassOf(hasSpiciness only Spiciness),American SubclassOf(InterestingPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which interesting pizza has a spiciness that is only a spiciness?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;49383
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Napoletana SubclassOf(hasIngredient only Food),Napoletana SubclassOf(ThinAndCrispyPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which thin and crispy pizza has an ingredient that is only food?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;45511
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);MeatyPizza SubclassOf(isToppingOf only Food),MeatyPizza SubclassOf(Food);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which food is a topping of only food?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;51439
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Spiciness SubclassOf(isIngredientOf only QuattroFormaggi),Spiciness SubclassOf(ValuePartition);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which value partition is an ingredient of only a quattro formaggi?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Pizza;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;49880
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);NonVegetarianPizza SubclassOf(hasIngredient some PizzaBase),NonVegetarianPizza SubclassOf(Food);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which food has an ingredient that is some pizza base?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;57365
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);UnclosedPizza SubclassOf(hasBase some DomainConcept),UnclosedPizza SubclassOf(CheeseyPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cheesy pizza has a base that is some domain thing?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;57451
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Parmense SubclassOf(hasBase some PizzaBase),Parmense SubclassOf(CheeseyPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cheesy pizza has a base that is some pizza base?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;57633
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Giardiniera SubclassOf(hasIngredient some VegetarianTopping),Giardiniera SubclassOf(InterestingPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which interesting pizza has an ingredient that is some vegetarian topping?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;58234
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);AmericanHot SubclassOf(hasIngredient some GreenPepperTopping),AmericanHot SubclassOf(Food);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which food has an ingredient that is some green pepper topping?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;56834
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Giardiniera SubclassOf(hasIngredient some MushroomTopping),Giardiniera SubclassOf(InterestingPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which interesting pizza has an ingredient that is some mushroom topping?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;58224
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);CajunSpiceTopping SubclassOf(hasSpiciness some Hot),CajunSpiceTopping SubclassOf(DomainConcept);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which domain thing has a spiciness that is some hot?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;57685
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);AmericanHot SubclassOf(hasBase some DomainConcept),AmericanHot SubclassOf(InterestingPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which interesting pizza has a base that is some domain thing?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;56911
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);AnchoviesTopping SubclassOf(hasSpiciness some ValuePartition),AnchoviesTopping SubclassOf(FishTopping);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which seafood topping has a spiciness that is some value partition?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;56233
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);American SubclassOf(hasIngredient some TomatoTopping),American SubclassOf(Food);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which food has an ingredient that is some tomato topping?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Pizza;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;59401
[X] SubclassOf([prop] only [Y]);Hot SubclassOf(hasIngredient only Napoletana);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is [Y]?;Does a hot have an ingredient that is a napoletana?;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;63060
[X] SubclassOf([prop] only [Y]);Spiciness SubclassOf(isBaseOf only Medium);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] [Y].;True or false: A spiciness is a base of a medium.;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;71448
[X] SubclassOf([prop] only [Y]);Hot SubclassOf(hasIngredient only PineKernels);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: A hot has an ingredient that is a pine kernel topping.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;66464
[X] SubclassOf([prop] only [Y]);Mild SubclassOf(isToppingOf only Soho);[X] is [prop/*OP_IS_NOUNS_PREP] [Y]. True or false?;A mild is a topping of a soho. True or false?;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;70090
[X] SubclassOf([prop] only [Y]);Mild SubclassOf(isToppingOf only Pizza);Is [X] [prop/*OP_IS_NOUNS_PREP] [Y]?;Is a mild a topping of a pizza?;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;67835
[X] SubclassOf([prop] only [Y]);Medium SubclassOf(isIngredientOf only LeekTopping);Is [X] [prop/*OP_IS_NOUNS_PREP] [Y]?;Is a medium an ingredient of a leek topping?;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;68865
[X] SubclassOf([prop] only [Y]);Spiciness SubclassOf(hasIngredient only PrawnsTopping);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: A spiciness has an ingredient that is a prawns topping.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;65256
[X] SubclassOf([prop] some [Y]);QuattroFormaggi SubclassOf(hasIngredient some DomainConcept);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: A quattro formaggi has an ingredient that is a domain thing.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;61220
[X] SubclassOf([prop] some [Y]);AnchoviesTopping SubclassOf(hasSpiciness some ValuePartition);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: An anchovies topping has a spiciness that is a value partition.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;61276
[X] SubclassOf([prop] only [Y]);Spiciness SubclassOf(hasIngredient only MeatTopping);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: A spiciness has an ingredient that is meat topping.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;65262
[X] SubclassOf([prop] only [Y]);Mild SubclassOf(hasIngredient only Country);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does a mild have an ingredient that is only a country?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;74430
[X] SubclassOf([prop] only [Y]);Medium SubclassOf(hasBase only Hot);[X] [prop/*OP_HAS_NOUNS-third] that is only [Y]. True or false?;A medium has a base that is only a hot. True or false?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;76593
[X] SubclassOf([prop] only [Y]);Spiciness SubclassOf(isIngredientOf only CheeseyPizza);Is [X] [prop/*OP_IS_NOUNS_PREP] only [Y]?;Is a spiciness an ingredient of only a cheesy pizza?;op_Yes-No-2-part-1-rel+1-quant-only;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;is_noun_prep;78769
[X] SubclassOf([prop] only [Y]);Medium SubclassOf(isBaseOf only ChickenTopping);Is [X] [prop/*OP_IS_NOUNS_PREP] only [Y]?;Is a medium a base of only a chicken topping?;op_Yes-No-2-part-1-rel+1-quant-only;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;is_noun_prep;80473
[X] SubclassOf([prop] only [Y]);ValuePartition SubclassOf(hasBase only American);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does a value partition have a base that is only an american?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;73859
[X] SubclassOf([prop] only [Y]);Hot SubclassOf(isToppingOf only Parmense);Is [X] [prop/*OP_IS_NOUNS_PREP] only [Y]?;Is a hot a topping of only a parmense?;op_Yes-No-2-part-1-rel+1-quant-only;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;is_noun_prep;80031
[X] SubclassOf([prop] only [Y]);ValuePartition SubclassOf(isIngredientOf only SlicedTomatoTopping);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] only [Y].;True or false: A value partition is an ingredient of only a sliced tomato topping.;op_Yes-No-2-part-1-rel+1-quant-only;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;is_noun_prep;83566
[X] SubclassOf([prop] only [Y]);NonVegetarianPizza SubclassOf(hasBase only PizzaBase);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does a non vegetarian pizza have a base that is only a pizza base?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;74172
[X] SubclassOf([prop] only [Y]);Hot SubclassOf(hasIngredient only ParmesanTopping);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is only [Y].;True or false: A hot has an ingredient that is only a parmezan topping.;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;78104
[X] SubclassOf([prop] only [Y]);Mild SubclassOf(isBaseOf only Parmense);Is [X] [prop/*OP_IS_NOUNS_PREP] only [Y]?;Is a mild a base of only a parmense?;op_Yes-No-2-part-1-rel+1-quant-only;OP_IS_NOUNS_PREP;Pizza;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;is_noun_prep;79627
[X] SubclassOf([prop] some [Y]);FruttiDiMare SubclassOf(hasIngredient some TomatoTopping);[X] [prop/*OP_HAS_NOUNS-third] that is some [Y]. True or false?;A frutti di mare has an ingredient that is some tomato topping. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;86138
[X] SubclassOf([prop] some [Y]);CheeseyPizza SubclassOf(hasBase some DomainConcept);[X] [prop/*OP_HAS_NOUNS-third] that is some [Y]. True or false?;A cheesy pizza has a base that is some domain thing. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;86205
[X] SubclassOf([prop] some [Y]);PrinceCarlo SubclassOf(hasIngredient some PizzaTopping);[X] [prop/*OP_HAS_NOUNS-third] that is some [Y]. True or false?;A prince carlo has an ingredient that is some pizza topping. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;85823
[X] SubclassOf([prop] some [Y]);PrawnsTopping SubclassOf(hasSpiciness some Mild);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is some [Y].;True or false: A prawns topping has a spiciness that is some mild.;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;86402
[X] SubclassOf([prop] some [Y]);PolloAdAstra SubclassOf(hasIngredient some PizzaTopping);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is some [Y].;True or false: A pollo ad astra has an ingredient that is some pizza topping.;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;86865
[X] SubclassOf([prop] some [Y]);RealItalianPizza SubclassOf(hasBase some DomainConcept);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is some [Y]?;Does a real italian pizza have a base that is some domain thing?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;85763
[X] SubclassOf([prop] some [Y]);SundriedTomatoTopping SubclassOf(hasSpiciness some Mild);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is some [Y].;True or false: A sundried tomato topping has a spiciness that is some mild.;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;86871
[X] SubclassOf([prop] some [Y]);Napoletana SubclassOf(hasIngredient some DomainConcept);[X] [prop/*OP_HAS_NOUNS-third] that is some [Y]. True or false?;A napoletana has an ingredient that is some domain thing. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;85859
[X] SubclassOf([prop] some [Y]);MozzarellaTopping SubclassOf(hasSpiciness some Spiciness);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is some [Y].;True or false: A mozzarella topping has a spiciness that is some spiciness.;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;86723
[X] SubclassOf([prop] some [Y]);HotGreenPepperTopping SubclassOf(hasSpiciness some Spiciness);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is some [Y]?;Does a hot green pepper topping have a spiciness that is some spiciness?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Pizza;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;85682
[X] SubclassOf([Y]);SolidSol SubclassOf(Stuff);What is [X]?;What is a solid sol?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87109
[X] SubclassOf([Y]);Liquid SubclassOf(State);What is [X]?;What is being a liquid?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87123
[X] SubclassOf([Y]);Paste SubclassOf(MixedStuff);What is [X]?;What is a paste?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87100
[X] SubclassOf([Y]);LiquidAerosol SubclassOf(PhysicalEndurant);What is [X]?;What is a liquid aerosol?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;86990
[X] SubclassOf([Y]);ContinuousMedium SubclassOf(Role);What is [X]?;What is a continuous medium?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87033
[X] SubclassOf([Y]);Sol SubclassOf(HomogeneousMixture);What is [X]?;What is a sol?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;86997
[X] SubclassOf([Y]);PureStuff SubclassOf(PhysicalEndurant);What is [X]?;What is pure stuff?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87091
[X] SubclassOf([Y]);Bulk SubclassOf(Stuff);What is [X]?;What is a bulk?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87044
[X] SubclassOf([Y]);MicellarColloid SubclassOf(MixedStuff);What is [X]?;What is a micellar colloid?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87019
[X] SubclassOf([Y]);Paste SubclassOf(Suspension);What is [X]?;What is a paste?;Definition;OP_DEFINITION;Stuff;Definition.csv;def;definition;87102
[X] SubclassOf([prop] only [Y]);Abstract SubclassOf(hasScatterStuffPart only ContinuousMedium);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What scatter stuff part does an abstract have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Stuff;What-1-part-1-rel.csv;w1p1r;has_nouns;102349
[X] SubclassOf([prop] only [Y]);Paste SubclassOf(inheresIn only Paste);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does a paste inhere in?;op_What-1-part-1-rel;OP_VERB_PREP;Stuff;What-1-part-1-rel.csv;w1p1r;verb_prep;90125
[X] SubclassOf([prop] only [Y]);Abstract SubclassOf(contiguousPortion only Liquid);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What contiguous portion does an abstract have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Stuff;What-1-part-1-rel.csv;w1p1r;has_nouns;102139
[X] SubclassOf([prop] only [Y]);Quality SubclassOf(hasPartStuff only State);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What part stuff does quality have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Stuff;What-1-part-1-rel.csv;w1p1r;has_nouns;109707
[X] SubclassOf([prop] only [Y]);ContinuousMedium SubclassOf(hasContainedScatteredPortion only UnevenDistribution);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What contained scattered portion does a continuous medium have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Stuff;What-1-part-1-rel.csv;w1p1r;has_nouns;105196
[X] SubclassOf([prop] only [Y]);UnevenDistribution SubclassOf(scatteredPortionOf only Region);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is uneven distribution a scattered portion of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Stuff;What-1-part-1-rel.csv;w1p1r;is_noun_prep;91610
[X] SubclassOf([prop] only [Y]);Gas SubclassOf(scatteredPortionOf only LeastPortion);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is being gas a scattered portion of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Stuff;What-1-part-1-rel.csv;w1p1r;is_noun_prep;95279
[X] SubclassOf([prop] only [Y]);EvenDistribution SubclassOf(instantiation only Drop);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What instantiation does an even distribution have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Stuff;What-1-part-1-rel.csv;w1p1r;has_nouns;99766
[X] SubclassOf([prop] only [Y]);LeastPortion SubclassOf(hasQuale only PhysicalEndurant);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What quale does a least portion have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Stuff;What-1-part-1-rel.csv;w1p1r;has_nouns;104622
[X] SubclassOf([prop] some [Y]);Foam SubclassOf(hasPartStuff some Stuff);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What part stuff does a foam have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Stuff;What-1-part-1-rel.csv;w1p1r;has_nouns;87357
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Ion SubclassOf(hasScatterStuffPart only Solid),Ion SubclassOf(Endurant);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which endurant has a scatter stuff part that is being a solid?;op_What-2-part-1-rel;OP_HAS_NOUNS;Stuff;What-2-part-1-rel.csv;w2p1r;has_nouns;140792
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);DispersedPhase SubclassOf(hasState only PureStuff),DispersedPhase SubclassOf(Role);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which role has a state that is pure stuff?;op_What-2-part-1-rel;OP_HAS_NOUNS;Stuff;What-2-part-1-rel.csv;w2p1r;has_nouns;128418
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Gas SubclassOf(hasContainedScatteredPortion only DispersionColloid),Gas SubclassOf(State);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which state has a contained scattered portion that is a dispersion colloid?;op_What-2-part-1-rel;OP_HAS_NOUNS;Stuff;What-2-part-1-rel.csv;w2p1r;has_nouns;159075
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);NumberOfPhases SubclassOf(hasContainedScatteredPortion only LeastPortion),NumberOfPhases SubclassOf(Abstract);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which abstract has a contained scattered portion that is a least portion?;op_What-2-part-1-rel;OP_HAS_NOUNS;Stuff;What-2-part-1-rel.csv;w2p1r;has_nouns;150771
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);NumberOfPhases SubclassOf(hasPartStuff only Endurant),NumberOfPhases SubclassOf(Region);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which region has part stuff that is an endurant?;op_What-2-part-1-rel;OP_HAS_NOUNS;Stuff;What-2-part-1-rel.csv;w2p1r;has_nouns;151258
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Sol SubclassOf(hasQuale only Atom),Sol SubclassOf(PhysicalEndurant);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which physical endurant has a quale that is an atom?;op_What-2-part-1-rel;OP_HAS_NOUNS;Stuff;What-2-part-1-rel.csv;w2p1r;has_nouns;139040
